epoch,accuracy,loss,val_accuracy,val_loss
0,0.24821917712688446,2.549267053604126,0.34091833233833313,2.065382480621338
1,0.35637640953063965,2.0708298683166504,0.39590951800346375,1.888485312461853
2,0.39074569940567017,1.9314723014831543,0.4182581603527069,1.817299246788025
3,0.4153016209602356,1.8495320081710815,0.43762698769569397,1.7581204175949097
4,0.4294430613517761,1.7938401699066162,0.4453474283218384,1.7326074838638306
5,0.4412250816822052,1.7519413232803345,0.458350270986557,1.702352523803711
6,0.44896456599235535,1.7244107723236084,0.46119463443756104,1.680499792098999
7,0.45909351110458374,1.6929662227630615,0.4626845419406891,1.6720778942108154
8,0.46286556124687195,1.6740425825119019,0.4723012447357178,1.6470255851745605
9,0.46851611137390137,1.6560492515563965,0.47609373927116394,1.637459397315979
10,0.4709206223487854,1.6434775590896606,0.4751456081867218,1.6303269863128662
11,0.4743921160697937,1.6327699422836304,0.48137614130973816,1.6196283102035522
12,0.47802892327308655,1.6181597709655762,0.48151159286499023,1.6161651611328125
13,0.48150041699409485,1.6072437763214111,0.47771909832954407,1.6175132989883423
14,0.48621922731399536,1.595184326171875,0.4821888208389282,1.6084271669387817
15,0.48566317558288574,1.591617226600647,0.48394960165023804,1.598827838897705
16,0.4880827069282532,1.5866743326187134,0.48855477571487427,1.5908664464950562
17,0.4911334216594696,1.5766128301620483,0.4858458638191223,1.5979228019714355
18,0.49041205644607544,1.5713006258010864,0.48327237367630005,1.593703031539917
19,0.4926813244819641,1.5663315057754517,0.4919409453868866,1.5782517194747925
19,0.4870307445526123,1.5950374603271484,0.521061897277832,1.4729735851287842
20,0.5300712585449219,1.4307146072387695,0.5419206023216248,1.398069143295288
21,0.5609389543533325,1.3342406749725342,0.5593932271003723,1.3553553819656372
22,0.5839470028877258,1.2553447484970093,0.5653528571128845,1.3227531909942627
23,0.6054221391677856,1.1878957748413086,0.5728023648262024,1.2988351583480835
24,0.6221333742141724,1.1305673122406006,0.5784911513328552,1.2782875299453735
25,0.6387695074081421,1.0787378549575806,0.5835026502609253,1.264715552330017
26,0.6543686985969543,1.0273271799087524,0.5901395082473755,1.2528526782989502
27,0.6696221828460693,0.9804661273956299,0.5942028760910034,1.2459114789962769
28,0.6872200965881348,0.9277910590171814,0.5970472693443298,1.2424315214157104
29,0.7019927501678467,0.885287880897522,0.6004334092140198,1.2466691732406616
30,0.7138949632644653,0.8397196531295776,0.5981308221817017,1.2554230690002441
31,0.7293739318847656,0.8024041056632996,0.6002979874610901,1.257814645767212
32,0.7402392625808716,0.7618100643157959,0.5998916625976562,1.2710871696472168
33,0.7567400932312012,0.7199174165725708,0.5982663035392761,1.2810195684432983
