epoch,accuracy,loss,val_accuracy,val_loss
0,0.20614048838615417,2.7194340229034424,0.2536908984184265,2.4581425189971924
1,0.2525472640991211,2.439384698867798,0.27671676874160767,2.3359951972961426
2,0.28236302733421326,2.317699670791626,0.3010971248149872,2.263859748840332
3,0.3077905774116516,2.218843698501587,0.32534199953079224,2.1731479167938232
4,0.3290102481842041,2.1411149501800537,0.34741973876953125,2.094017505645752
5,0.3454810380935669,2.080781936645508,0.36841392517089844,2.024904251098633
6,0.3602687120437622,2.023855447769165,0.3615061640739441,2.0297412872314453
7,0.37559735774993896,1.9718157052993774,0.379249632358551,1.976323127746582
8,0.38951340317726135,1.9271856546401978,0.39225247502326965,1.9258054494857788
9,0.39654654264450073,1.8883479833602905,0.398483008146286,1.9151813983917236
10,0.4092903733253479,1.8529694080352783,0.4044426381587982,1.8867889642715454
11,0.41705989837646484,1.818735122680664,0.41852906346321106,1.8507636785507202
12,0.4270536005496979,1.7840616703033447,0.41731002926826477,1.8170315027236938
13,0.4348231256008148,1.7509514093399048,0.4267912805080414,1.8011115789413452
14,0.4444561302661896,1.7202222347259521,0.4250304698944092,1.794374942779541
15,0.45393887162208557,1.6878854036331177,0.44263848662376404,1.7670725584030151
16,0.4629857838153839,1.6589949131011963,0.4403358995914459,1.7431071996688843
17,0.46950799226760864,1.629564642906189,0.45144250988960266,1.7330114841461182
18,0.4788103699684143,1.605944275856018,0.4553704559803009,1.71372389793396
19,0.48590365052223206,1.57590913772583,0.45577678084373474,1.723975419998169
20,0.49445462226867676,1.5476608276367188,0.46281999349594116,1.7002685070037842
21,0.5021189451217651,1.5224177837371826,0.46295544505119324,1.7072463035583496
22,0.5071834325790405,1.4989088773727417,0.4693213999271393,1.685379981994629
23,0.5171020030975342,1.4686566591262817,0.4735202491283417,1.6734315156936646
24,0.5246761441230774,1.446642279624939,0.47771909832954407,1.6726511716842651
25,0.5345495939254761,1.4131582975387573,0.4693213999271393,1.6684134006500244
26,0.5384869575500488,1.3927112817764282,0.4774481952190399,1.6817210912704468
27,0.5483453869819641,1.363998293876648,0.48015710711479187,1.6599183082580566
28,0.5575726628303528,1.3355714082717896,0.47785452008247375,1.694777011871338
29,0.563809335231781,1.3109627962112427,0.4747392535209656,1.6955347061157227
